Agartala (IXA)
Agatti (AGX)
Agra (AGR)
Ahmedabad (AMD)
Aizawl (AJL)
Amritsar (ATQ)
Aurangabad (IXU)
Ayodhya (AYJ)
Bagdogra (IXB)
Bareilly (BEK)
Belagavi (IXG)
Bengaluru (BLR)
Bhopal (BHO)
Bhubaneswar (BBI)
Chandigarh (IXC)
Chennai (MAA)
Coimbatore (CJB)
Darbhanga (DBR)
Dehradun (DED)
Delhi (DEL)
Deoghar (DGH)
Dharamshala (DHM)
Dibrugarh (DIB)
Dimapur (DMU)
Diu (DIU)
Durgapur (RDP)
Gaya (GAY)
Goa (GOI)
Gondia (GDB)
Gorakhpur (GOP)
Guwahati (GAU)
Gwalior (GWL)
Hirasar (HSR)
Hubli (HBX)
Hyderabad (HYD)
Imphal (IMF)
Indore (IDR)
Itanagar (HGI)
Jabalpur (JLR)
Jagdalpur (JGB)
Jaipur (JAI)
Jaisalmer (JSA)
Jammu (IXJ)
Jharsuguda (JRG)
Jodhpur (JDH)
Jorhat (JRH)
Kadapa (CDP)
Kannur (CNN)
Kanpur (KNU)
Khajuraho (HJR)
Kochi (COK)
Kolhapur (KLH)
Kolkata (CCU)
Kozhikode (CCJ)
Kurnool (KJB)
Leh (IXL)
Lucknow (LKO)
Madurai (IXM)
Mangaluru (IXE)
Mumbai (BOM)
Mysuru (MYQ)
Nagpur (NAG)
Nashik (ISK)
North Goa (GOX)
Pantnagar (PGH)
Patna (PAT)
Port Blair (IXZ)
Prayagraj (IXD)
Pune (PNQ)
Raipur (RPR)
Rajahmundry (RJA)
Rajkot (RAJ)
Ranchi (IXR)
Salem (SXV)
Shillong (SHL)
Shirdi (SAG)
Shivamogga (RQY)
Silchar (IXS)
Srinagar (SXR)
Surat (STV)
Thiruvananthapuram (TRV)
Tiruchirappalli (TRZ)
Tirupati (TIR)
Tuticorin (TCR)
Udaipur (UDR)
Vadodara (BDQ)
Varanasi (VNS)
Vijayawada (VGA)
Visakhapatnam (VTZ)

10 oct
